Ticker,Source,Date
SNX,Finviz-Value,2025-06-05
SQM,Finviz-Value,2025-06-05
SR,Finviz-Value,2025-06-05
SRCE,Finviz-Value,2025-06-05
SSTK,Finviz-Value,2025-06-05
STOK,Finviz-Value,2025-06-05
STRA,Finviz-Value,2025-06-05
STT,Finviz-Value,2025-06-05
SUNS,Finviz-Value,2025-06-05
SVM,Finviz-Value,2025-06-05
SYF,Finviz-Value,2025-06-05
TAP,Finviz-Value,2025-06-05
TD,Finviz-Value,2025-06-05
TFC,Finviz-Value,2025-06-05
TGS,Finviz-Value,2025-06-05
TIGO,Finviz-Value,2025-06-05
TKC,Finviz-Value,2025-06-05
TLK,Finviz-Value,2025-06-05
TRTX,Finviz-Value,2025-06-05
TTI,Finviz-Value,2025-06-05
TXT,Finviz-Value,2025-06-05
UBSI,Finviz-Value,2025-06-05
UCB,Finviz-Value,2025-06-05
UFCS,Finviz-Value,2025-06-05
UGI,Finviz-Value,2025-06-05
UHS,Finviz-Value,2025-06-05
UNM,Finviz-Value,2025-06-05
USB,Finviz-Value,2025-06-05
USNA,Finviz-Value,2025-06-05
UVE,Finviz-Value,2025-06-05
UVSP,Finviz-Value,2025-06-05
VAC,Finviz-Value,2025-06-05
VALE,Finviz-Value,2025-06-05
VBTX,Finviz-Value,2025-06-05
VEL,Finviz-Value,2025-06-05
VICI,Finviz-Value,2025-06-05
VIOT,Finviz-Value,2025-06-05
VIPS,Finviz-Value,2025-06-05
VIV,Finviz-Value,2025-06-05
VLY,Finviz-Value,2025-06-05
VOYA,Finviz-Value,2025-06-05
VZ,Finviz-Value,2025-06-05
WAFD,Finviz-Value,2025-06-05
WAL,Finviz-Value,2025-06-05
WBS,Finviz-Value,2025-06-05
WCC,Finviz-Value,2025-06-05
WDH,Finviz-Value,2025-06-05
WFC,Finviz-Value,2025-06-05
WHWK,Finviz-Value,2025-06-05
WSBC,Finviz-Value,2025-06-05
WSFS,Finviz-Value,2025-06-05
WTFC,Finviz-Value,2025-06-05
WTRG,Finviz-Value,2025-06-05
XPRO,Finviz-Value,2025-06-05
YALA,Finviz-Value,2025-06-05
ZION,Finviz-Value,2025-06-05
ZTO,Finviz-Value,2025-06-05
MSFT,Yahoo-Tech,2025-06-05
NVDA,Yahoo-Tech,2025-06-05
AAPL,Yahoo-Tech,2025-06-05
AVGO,Yahoo-Tech,2025-06-05
TSM,Yahoo-Tech,2025-06-05
ORCL,Yahoo-Tech,2025-06-05
SAP,Yahoo-Tech,2025-06-05
ASML,Yahoo-Tech,2025-06-05
PLTR,Yahoo-Tech,2025-06-05
CSCO,Yahoo-Tech,2025-06-05
CRM,Yahoo-Tech,2025-06-05
IBM,Yahoo-Tech,2025-06-05
INTU,Yahoo-Tech,2025-06-05
NOW,Yahoo-Tech,2025-06-05
ACN,Yahoo-Tech,2025-06-05
AMD,Yahoo-Tech,2025-06-05
ADBE,Yahoo-Tech,2025-06-05
UBER,Yahoo-Tech,2025-06-05
TXN,Yahoo-Tech,2025-06-05
QCOM,Yahoo-Tech,2025-06-05
SONY,Yahoo-Tech,2025-06-05
APP,Yahoo-Tech,2025-06-05
ARM,Yahoo-Tech,2025-06-05
AMAT,Yahoo-Tech,2025-06-05
SHOP,Yahoo-Tech,2025-06-05
ADP,Yahoo-Tech,2025-06-05
ANET,Yahoo-Tech,2025-06-05
MU,Yahoo-Tech,2025-06-05
CRWD,Yahoo-Tech,2025-06-05
APH,Yahoo-Tech,2025-06-05
LRCX,Yahoo-Tech,2025-06-05
ADI,Yahoo-Tech,2025-06-05
KLAC,Yahoo-Tech,2025-06-05
FI,Yahoo-Tech,2025-06-05
MSTR,Yahoo-Tech,2025-06-05
INTC,Yahoo-Tech,2025-06-05
CDNS,Yahoo-Tech,2025-06-05
FTNT,Yahoo-Tech,2025-06-05
DELL,Yahoo-Tech,2025-06-05
SNPS,Yahoo-Tech,2025-06-05
INFY,Yahoo-Tech,2025-06-05
MSI,Yahoo-Tech,2025-06-05
SNOW,Yahoo-Tech,2025-06-05
WDAY,Yahoo-Tech,2025-06-05
PANW,Yahoo-Tech,2025-06-05
ADSK,Yahoo-Tech,2025-06-05
ROP,Yahoo-Tech,2025-06-05
NET,Yahoo-Tech,2025-06-05
PAYX,Yahoo-Tech,2025-06-05
TEAM,Yahoo-Tech,2025-06-05
MRVL,Yahoo-Tech,2025-06-05
NXPI,Yahoo-Tech,2025-06-05
TEL,Yahoo-Tech,2025-06-05
ZS,Yahoo-Tech,2025-06-05
GLW,Yahoo-Tech,2025-06-05
FIS,Yahoo-Tech,2025-06-05
FICO,Yahoo-Tech,2025-06-05
DDOG,Yahoo-Tech,2025-06-05
GRMN,Yahoo-Tech,2025-06-05
CTSH,Yahoo-Tech,2025-06-05
MCHP,Yahoo-Tech,2025-06-05
MPWR,Yahoo-Tech,2025-06-05
IT,Yahoo-Tech,2025-06-05
HUBS,Yahoo-Tech,2025-06-05
ANSS,Yahoo-Tech,2025-06-05
NOK,Yahoo-Tech,2025-06-05
BR,Yahoo-Tech,2025-06-05
ERIC,Yahoo-Tech,2025-06-05
KEYS,Yahoo-Tech,2025-06-05
STX,Yahoo-Tech,2025-06-05
VRSN,Yahoo-Tech,2025-06-05
IOT,Yahoo-Tech,2025-06-05
STM,Yahoo-Tech,2025-06-05
CHKP,Yahoo-Tech,2025-06-05
GDDY,Yahoo-Tech,2025-06-05
ZM,Yahoo-Tech,2025-06-05
FTV,Yahoo-Tech,2025-06-05
TYL,Yahoo-Tech,2025-06-05
UI,Yahoo-Tech,2025-06-05
TOST,Yahoo-Tech,2025-06-05
GIB,Yahoo-Tech,2025-06-05
SMCI,Yahoo-Tech,2025-06-05
HPQ,Yahoo-Tech,2025-06-05
CDW,Yahoo-Tech,2025-06-05
TDY,Yahoo-Tech,2025-06-05
CPAY,Yahoo-Tech,2025-06-05
HPE,Yahoo-Tech,2025-06-05
DUOL,Yahoo-Tech,2025-06-05
GWRE,Yahoo-Tech,2025-06-05
NTAP,Yahoo-Tech,2025-06-05
ON,Yahoo-Tech,2025-06-05
NTNX,Yahoo-Tech,2025-06-05
ASX,Yahoo-Tech,2025-06-05
GFS,Yahoo-Tech,2025-06-05
GRAB,Yahoo-Tech,2025-06-05
PTC,Yahoo-Tech,2025-06-05
SSNC,Yahoo-Tech,2025-06-05
JBL,Yahoo-Tech,2025-06-05
LDOS,Yahoo-Tech,2025-06-05
UMC,Yahoo-Tech,2025-06-05
WDC,Yahoo-Tech,2025-06-05
DOCU,Yahoo-Tech,2025-06-05
TWLO,Yahoo-Tech,2025-06-05
GEN,Yahoo-Tech,2025-06-05
RBRK,Yahoo-Tech,2025-06-05
PSTG,Yahoo-Tech,2025-06-05
OKTA,Yahoo-Tech,2025-06-05
FSLR,Yahoo-Tech,2025-06-05
AFRM,Yahoo-Tech,2025-06-05
TRMB,Yahoo-Tech,2025-06-05
FFIV,Yahoo-Tech,2025-06-05
CYBR,Yahoo-Tech,2025-06-05
FLEX,Yahoo-Tech,2025-06-05
DT,Yahoo-Tech,2025-06-05
KSPI,Yahoo-Tech,2025-06-05
PAYC,Yahoo-Tech,2025-06-05
MNDY,Yahoo-Tech,2025-06-05
ZBRA,Yahoo-Tech,2025-06-05
BSY,Yahoo-Tech,2025-06-05
ALAB,Yahoo-Tech,2025-06-05
CLS,Yahoo-Tech,2025-06-05
TER,Yahoo-Tech,2025-06-05
JKHY,Yahoo-Tech,2025-06-05
YMM,Yahoo-Tech,2025-06-05
LOGI,Yahoo-Tech,2025-06-05
COHR,Yahoo-Tech,2025-06-05
CRDO,Yahoo-Tech,2025-06-05
JNPR,Yahoo-Tech,2025-06-05
MANH,Yahoo-Tech,2025-06-05
AKAM,Yahoo-Tech,2025-06-05
SWKS,Yahoo-Tech,2025-06-05
NICE,Yahoo-Tech,2025-06-05
ENTG,Yahoo-Tech,2025-06-05
PCTY,Yahoo-Tech,2025-06-05
CIEN,Yahoo-Tech,2025-06-05
DOX,Yahoo-Tech,2025-06-05
PCOR,Yahoo-Tech,2025-06-05
U,Yahoo-Tech,2025-06-05
EPAM,Yahoo-Tech,2025-06-05
AUR,Yahoo-Tech,2025-06-05
CACI,Yahoo-Tech,2025-06-05
DAY,Yahoo-Tech,2025-06-05
MTSI,Yahoo-Tech,2025-06-05
KD,Yahoo-Tech,2025-06-05
KVYO,Yahoo-Tech,2025-06-05
ASTS,Yahoo-Tech,2025-06-05
ESTC,Yahoo-Tech,2025-06-05
DBX,Yahoo-Tech,2025-06-05
FOUR,Yahoo-Tech,2025-06-05
WIX,Yahoo-Tech,2025-06-05
CVLT,Yahoo-Tech,2025-06-05
IONQ,Yahoo-Tech,2025-06-05
CFLT,Yahoo-Tech,2025-06-05
GTLB,Yahoo-Tech,2025-06-05
OTEX,Yahoo-Tech,2025-06-05
G,Yahoo-Tech,2025-06-05
QRVO,Yahoo-Tech,2025-06-05
INFA,Yahoo-Tech,2025-06-05
PATH,Yahoo-Tech,2025-06-05
PSN,Yahoo-Tech,2025-06-05
OLED,Yahoo-Tech,2025-06-05
SRAD,Yahoo-Tech,2025-06-05
QXO,Yahoo-Tech,2025-06-05
OS,Yahoo-Tech,2025-06-05
LSCC,Yahoo-Tech,2025-06-05
LYFT,Yahoo-Tech,2025-06-05
ARW,Yahoo-Tech,2025-06-05
MKSI,Yahoo-Tech,2025-06-05
S,Yahoo-Tech,2025-06-05
IDCC,Yahoo-Tech,2025-06-05
VRNS,Yahoo-Tech,2025-06-05
LITE,Yahoo-Tech,2025-06-05
CCCS,Yahoo-Tech,2025-06-05
BOX,Yahoo-Tech,2025-06-05
SATS,Yahoo-Tech,2025-06-05
QTWO,Yahoo-Tech,2025-06-05
WEX,Yahoo-Tech,2025-06-05
ITRI,Yahoo-Tech,2025-06-05
VNT,Yahoo-Tech,2025-06-05
LFUS,Yahoo-Tech,2025-06-05
CGNX,Yahoo-Tech,2025-06-05
ALGM,Yahoo-Tech,2025-06-05
QLYS,Yahoo-Tech,2025-06-05
SAIC,Yahoo-Tech,2025-06-05
LIF,Yahoo-Tech,2025-06-05
EEFT,Yahoo-Tech,2025-06-05
FROG,Yahoo-Tech,2025-06-05
