Ticker,Sector,Return_6M,Volatility,Beta,PE,PB,EV_Revenue,GrossMargin,ProfitMargin,ROE,MarketCap,EV_EBITDA,FCF_Yield,Price_Sales,RSI_14,SMA20_above_SMA50,MACD,Momentum_10,BB_Percent,ValueScore,SignalScore,QualityScore,IndexSource
CMA,Financial Services,-0.1835079790952716,0.0225766510209758,0.943,10.712666,1.1168703,2.836,0.0,0.22635001,0.11174,7447174656,,,2.3027751857622833,50.75287819053386,1,0.4247720419727443,-3.606060067303224,0.4331815194340493,0.9342552753242918,0.49780272188951846,0.35808916605172264,AltScreen
CMCL,Basic Materials,0.7404945996256129,0.0329310202792994,0.283,19.532967,1.5514532,1.952,0.55794996,0.13291,0.12755999,342965056,4.634204328810138,0.0367952938039261,1.7996990890390832,67.7931714513713,1,1.143462322578399,16.17646664667483,0.8238415237777843,0.9325890587891857,0.2790858653391698,0.5212899666924498,AltScreen
CMRE,Industrials,-0.3301771905549494,0.0334541872981927,1.118,3.5163934,0.39792225,1.24,0.35568002,0.15486,0.121479996,1254009984,4.004901799496518,0.2021948558903977,0.6103158893579261,48.2118445423644,0,-0.1354817261283525,-2.500002980232174,0.5519165606695057,0.9367097914308586,0.5062610709230972,0.37877538420117907,AltScreen
CNC,Healthcare,-0.0862470893562009,0.0217770006500051,0.457,8.094396,0.9780614,0.191,0.14345999,0.02253,0.12527001,27308453888,4.506587538816534,0.091890042046748,0.178176860103474,35.9070394474291,0,-1.2580642411642913,-11.168659513625473,0.037981335651453,0.9355962980032431,0.630679003355552,0.41366096335116326,AltScreen
CNDT,Technology,-0.4432366808953804,0.0315140791291234,1.545,1.6006944,0.46631604,0.335,0.17985001,0.08663,0.30786,373018176,106.749952,0.5612997474954142,0.1170804114834565,52.97915292765128,0,-0.0149809959151117,2.4444474114312067,0.7483717201553078,0.9371947144615385,0.4490067368271935,0.30595730800640847,AltScreen
CNMD,Healthcare,-0.2631549077627727,0.0296956883020758,1.244,14.598425,1.7596811,1.985,0.56278,0.09024,0.12962,1720877184,11.705053188286362,0.0924358539232047,1.307659469670664,46.45211365482914,1,0.3495119444179764,-7.745898014142916,0.1716846905270645,0.933121489725449,0.5473445423044336,0.382991598085949,AltScreen
CNXC,Technology,0.2172173258510394,0.0475759152791927,0.613,13.704261,0.86503935,0.939,0.35963002,0.02809,0.06622,3493149696,6.26153121875493,0.2150295387741665,0.3643109745925892,52.716151332522045,1,1.5433159267773462,-2.7392402740828032,0.4882666490363169,0.9346195632234686,0.47849056971090764,0.42625961422374453,AltScreen
CNXN,Technology,-0.1439605601030912,0.0184089891623036,0.704,19.48485,1.879073,0.461,0.18426001,0.030450001,0.10109,1633040000,11.582658196391383,0.0222799196590408,0.5687777425781205,41.49764209751074,1,0.239469421981795,-7.747480821978087,0.0080792740697821,0.9326385184871522,0.5745582328679366,0.39040009102266454,AltScreen
COF,Financial Services,0.0268900491564945,0.0281574230794962,1.132,16.082354,1.2486299,2.552,0.0,0.17218,0.08028,122509606912,,,4.327737868740191,54.87434273149548,1,2.7153273673847025,-2.651397874383057,0.4934413368257004,0.9333245384784219,0.4628564839735506,0.32841606770941323,AltScreen
COOP,Financial Services,0.3090106717562704,0.027099012319826,1.034,14.203787,1.6689128,8.928,1.0,0.25934,0.12394,8161337856,10.68896318485518,-0.3551654244860121,3.674623183780227,53.76261851834982,1,3.508530305231602,-3.2319206325318635,0.5618801201557556,0.9312978550822403,0.47025251067507157,0.4908304777786127,AltScreen
CPA,Industrials,0.2024411209420917,0.0194303494941626,1.306,7.469262,1.8206186,1.586,0.41347,0.17637,0.26057,4502048768,5.226448545750261,0.0325729461311779,1.3042188941867603,70.65360615528171,1,4.172561722677514,6.278549055101447,0.850423576987556,0.9343018852165129,0.3169805970109164,0.3713497775335143,AltScreen
CPF,Financial Services,-0.1527617478400834,0.0194291178004543,1.015,12.196261,1.2671748,2.42,0.0,0.23506,0.10939,704070976,,,2.842365449363358,45.79888021235256,1,0.1081616222925561,-4.025012282754801,0.1319358284428909,0.933960722820535,0.5282277089749916,0.35045107400042735,AltScreen
CTRA,Energy,-0.0240257322214311,0.0220879589252133,0.326,14.64035,1.3446665,3.947,0.74423,0.22148001,0.09404001,19108239360,6.407069782846969,0.0689689363405588,3.2933884490785457,52.973874197495086,0,-0.1026815402784961,0.947583135407452,0.7470947814658825,0.9330408348558208,0.4586833792869648,0.5565706148933864,AltScreen
CUBI,Financial Services,-0.0840970382183986,0.0287602986377928,1.539,12.806533,0.92919385,-0.377,0.0,0.24455999,0.08135,1610030208,,,2.7219444140283664,48.55727954362876,1,0.3674414077287409,-6.49421612517582,0.2957067010396311,0.9350650525234001,0.5280117280666268,0.2883285202893564,AltScreen
CVBF,Financial Services,-0.1928129840953315,0.0189323797830117,0.676,12.717241,1.1509894,5.679,0.0,0.40089,0.094189994,2541124096,,,5.012870070228044,42.02484630997442,1,0.0287384570367059,-6.774520253139291,0.0699714250635663,0.9330787903243363,0.5661959276108801,0.409188028833717,AltScreen
CVS,Healthcare,0.0962313279411795,0.0261616436426938,0.561,15.1095705,1.0385692,0.397,0.13542,0.01401,0.06934,80087277568,10.737208204599124,0.0815469707339571,0.212579137588268,48.736903014326714,0,-0.7941164499606046,1.2314096798265286,0.4955871147029058,0.9343462950105385,0.48188374313795046,0.3951141397887132,AltScreen
CWK,Real Estate,-0.346179183715113,0.0286071530325644,1.421,14.178572,1.2921494,0.521,0.18419,0.016970001,0.09523,2297270272,9.339806100676183,0.1344040793820884,0.2406450846811481,50.03081255350093,1,0.0792660506640103,-5.924170509009872,0.3442089245974361,0.9341602193618408,0.5172656184659905,0.3038862419977551,AltScreen
CX,Basic Materials,0.2049849248161697,0.0254776264225271,1.061,12.867926,7.6371784,6.608,0.32279,0.08918,0.06308,10116515840,42.15391552201553,0.0197803642246854,0.635991505272575,58.52976156746415,1,0.2610537324913862,-0.4379523122460624,0.5361847035452061,0.9251389995261411,0.4361832247161087,0.37112081618838416,AltScreen
CYD,Consumer Cyclical,0.8174098408254811,0.0614718162547873,0.883,15.017545,0.0700861,0.002,0.14769,0.01688,0.04018,642313344,0.0320369534986763,0.84627734590549,0.0335699595271791,51.851478972040006,1,0.2501258298384492,-0.7536183232846467,0.4078157715100928,0.935616508880968,0.4744382817801781,0.35832564854809024,AltScreen
